Date,Total,season_temp
01/01/1986,9034,20
01/02/1986,9596,23.66025404
01/03/1986,10558,25
01/04/1986,9002,23.66025404
01/05/1986,9239,20
01/06/1986,8951,15
01/07/1986,9668,10
01/08/1986,10188,6.339745962
01/09/1986,9896,5
01/10/1986,10649,6.339745962
01/11/1986,8917,10
01/12/1986,8196,15
01/01/1987,10768,20
01/02/1987,12220,23.66025404
01/03/1987,14463,25
01/04/1987,12944,23.66025404
01/05/1987,11001,20
01/06/1987,11000,15
01/07/1987,11876,10
01/08/1987,13021,6.339745962
01/09/1987,13494,5
01/10/1987,14041,6.339745962
01/11/1987,11312,10
01/12/1987,10362,15
01/01/1988,12533,20
01/02/1988,14343,23.66025404
01/03/1988,14676,25
01/04/1988,12253,23.66025404
01/05/1988,11840,20
01/06/1988,12018,15
01/07/1988,11819,10
01/08/1988,12453,6.339745962
01/09/1988,12309,5
01/10/1988,13005,6.339745962
01/11/1988,11815,10
01/12/1988,10496,15
01/01/1989,13996,20
01/02/1989,15158,23.66025404
01/03/1989,15587,25
01/04/1989,14615,23.66025404
01/05/1989,14792,20
01/06/1989,14373,15
01/07/1989,14573,10
01/08/1989,14385,6.339745962
01/09/1989,15607,5
01/10/1989,15978,6.339745962
01/11/1989,14436,10
01/12/1989,12794,15
01/01/1990,15771,20
01/02/1990,16476,23.66025404
01/03/1990,16420,25
01/04/1990,15444,23.66025404
01/05/1990,16118,20
01/06/1990,15158,15
01/07/1990,15214,10
01/08/1990,16257,6.339745962
01/09/1990,15287,5
01/10/1990,15212,6.339745962
01/11/1990,13488,10
01/12/1990,12300,15
01/01/1991,15794,20
01/02/1991,17113,23.66025404
01/03/1991,17536,25
01/04/1991,15914,23.66025404
01/05/1991,16716,20
01/06/1991,15983,15
01/07/1991,16878,10
01/08/1991,17893,6.339745962
01/09/1991,16697,5
01/10/1991,18546,6.339745962
01/11/1991,15486,10
01/12/1991,15253,15
01/01/1992,18698,20
01/02/1992,21100,23.66025404
01/03/1992,22425,25
01/04/1992,19923,23.66025404
01/05/1992,19454,20
01/06/1992,18874,15
01/07/1992,19676,10
