data Tmin[C] Tmax[C] Tsr[C] vmin[km/h] vmax[km/h] vsr[km/h] opad[mm]
2024-07-01 14.5 19.3 16.9 1.0 18.1 9.6 7.2
2024-07-02 18.7 25.0 21.8 1.8 25.8 13.8 9.7
2024-07-03 19.2 23.6 21.4 0.4 20.7 10.5 6.6
2024-07-04 12.1 19.6 15.8 1.5 25.0 13.2 0.0
2024-07-05 15.8 22.3 19.0 2.2 15.4 8.8 9.7
2024-07-06 20.1 27.0 23.6 2.5 24.5 13.5 7.2
2024-07-07 14.3 18.4 16.4 0.2 15.5 7.8 0.0
2024-07-08 17.2 23.6 20.4 1.1 26.2 13.6 6.6
2024-07-09 20.8 27.0 23.9 0.5 22.1 11.3 0.0
2024-07-10 18.2 22.8 20.5 1.1 16.8 9.0 0.0
2024-07-11 18.7 23.3 21.0 1.4 23.1 12.2 0.0
2024-07-12 17.9 24.7 21.3 0.2 16.0 8.1 2.1
2024-07-13 21.7 27.0 24.4 0.7 24.8 12.8 2.1
2024-07-14 16.3 23.1 19.7 2.3 29.9 16.1 0.0
2024-07-15 17.1 23.3 20.2 1.4 26.5 14.0 0.0
2024-07-16 17.4 23.0 20.2 1.1 23.6 12.4 6.6
2024-07-17 19.3 27.0 23.2 1.9 16.5 9.2 7.2
2024-07-18 19.6 27.0 23.3 1.9 25.5 13.7 0.0
2024-07-19 20.0 25.4 22.7 0.1 24.9 12.5 0.0
2024-07-20 19.2 23.4 21.3 1.8 15.7 8.8 4.5
2024-07-21 18.6 23.8 21.2 2.1 26.9 14.5 0.0
2024-07-22 19.7 25.3 22.5 0.4 22.8 11.6 0.0
2024-07-23 11.9 18.7 15.3 2.0 21.4 11.7 0.0
2024-07-24 15.6 23.6 19.6 0.7 26.8 13.8 0.0
2024-07-25 11.7 17.1 14.4 0.8 21.2 11.0 6.6
2024-07-26 11.2 18.3 14.8 1.7 22.2 12.0 0.0
2024-07-27 15.4 21.8 18.6 0.3 17.7 9.0 6.6
2024-07-28 9.2 16.0 12.6 1.7 19.8 10.8 0.0
2024-07-29 14.2 18.8 16.5 2.2 27.7 15.0 0.0
2024-07-30 11.3 16.9 14.1 1.7 17.8 9.8 0.0
2024-07-31 13.4 18.4 15.9 1.1 21.3 11.2 0.0
2024-08-01 10.6 16.0 13.3 1.1 29.8 15.4 9.7
2024-08-02 9.9 16.0 13.0 1.9 18.5 10.2 0.0
2024-08-03 10.9 17.6 14.2 1.4 28.8 15.1 0.0
2024-08-04 17.5 21.9 19.7 0.2 28.8 14.5 0.0
2024-08-05 14.9 19.4 17.2 1.5 16.4 9.0 9.7
2024-08-06 14.9 20.2 17.6 2.0 22.0 12.0 0.0
2024-08-07 15.8 22.4 19.1 0.8 22.5 11.6 0.0
2024-08-08 11.5 18.9 15.2 2.3 19.7 11.0 0.0
2024-08-09 16.0 22.2 19.1 1.9 15.7 8.8 4.2
2024-08-10 12.6 20.0 16.3 1.4 18.6 10.0 0.0
2024-08-11 12.7 18.2 15.4 1.9 16.4 9.1 0.0
2024-08-12 16.6 21.9 19.2 0.2 18.6 9.4 4.2
2024-08-13 19.4 24.8 22.1 2.1 27.1 14.6 7.2
2024-08-14 19.9 24.6 22.2 2.1 28.4 15.2 4.2
2024-08-15 16.8 24.1 20.5 2.3 15.6 9.0 0.0
2024-08-16 21.6 27.0 24.3 0.3 19.5 9.9 0.0
2024-08-17 19.5 25.7 22.6 0.2 29.7 15.0 0.0
2024-08-18 20.7 27.0 23.8 0.3 23.1 11.7 0.0
2024-08-19 20.9 27.0 24.0 1.0 24.4 12.7 0.0
2024-08-20 17.8 21.8 19.8 1.1 15.1 8.1 6.6
2024-08-21 14.4 22.4 18.4 1.4 22.3 11.8 6.6
2024-08-22 19.4 27.0 23.2 0.3 29.8 15.0 9.7
2024-08-23 17.9 22.7 20.3 0.5 20.6 10.6 7.2
2024-08-24 19.3 24.5 21.9 2.0 16.5 9.2 0.0
2024-08-25 20.7 26.8 23.8 1.2 21.9 11.5 0.0
2024-08-26 18.4 26.0 22.2 2.0 29.4 15.7 6.6
2024-08-27 19.1 27.0 23.0 0.0 20.1 10.0 2.1
2024-08-28 21.7 26.7 24.2 1.4 27.0 14.2 4.2
2024-08-29 18.8 25.1 22.0 2.3 27.0 14.6 0.0
2024-08-30 12.9 20.1 16.5 1.5 18.1 9.8 6.6
